SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5110 Franconia Rd,Alexandria,VA,22310,999000,5,5.0,BUSH HILL WOODS,6526,23993,1952,51,153,,Contingent,,,https://www.redfin.com/VA/Alexandria/5110-Franconia-Rd-22310/home/9757173,BRIGHT MLS,VAFX2060918,N,Y,38.7865599,-77.1222721
PAST SALE,June-18-1992,Single Family Residential,2316 Windsor Rd,Alexandria,VA,22307,999000,4,3.0,BELLE HAVEN,2651,9600,1957,4,377,,Pending,,,https://www.redfin.com/VA/Alexandria/2316-Windsor-Rd-22307/home/9762364,BRIGHT MLS,VAFX2063712,N,Y,38.7820442,-77.0720286
MLS Listing,,Condo/Co-op,701 Swann Ave Unit ONE-504,Alexandria,VA,22301,997900,2,2.5,POTOMAC YARD,1639,,2022,326,609,864,Contingent,,,https://www.redfin.com/VA/Alexandria/701-Swann-Ave-22301/unit-ONE-504/home/175690180,BRIGHT MLS,VAAX2001456,N,Y,38.8293894,-77.0502802
PAST SALE,December-14-2000,Single Family Residential,204 Russell Rd,Alexandria,VA,22301,997500,3,2.0,ROSEMONT,2293,5600,1920,8,435,,Pending,,,https://www.redfin.com/VA/Alexandria/204-Russell-Rd-22301/home/11843132,BRIGHT MLS,VAAX2013356,N,Y,38.8098539,-77.0637093
PAST SALE,October-22-1992,Single Family Residential,2208 Fort Ward Pl,Alexandria,VA,22304,995000,5,3.5,BRADLEE HOMES,4171,9459,1979,6,239,,Pending,,,https://www.redfin.com/VA/Alexandria/2208-Fort-Ward-Pl-22304/home/11861898,BRIGHT MLS,VAAX2011670,N,Y,38.8311585,-77.0999951
MLS Listing,,Single Family Residential,120 E Maple St,Alexandria,VA,22301,995000,3,2.0,ROSEMONT PARK,1691,4400,1950,5,588,,Active,,,https://www.redfin.com/VA/Alexandria/120-E-Maple-St-22301/home/11843508,BRIGHT MLS,VAAX2013808,N,Y,38.8119454,-77.0569186
MLS Listing,,Condo/Co-op,737 Swann Ave Unit TWO-412,Alexandria,VA,22301,989900,2,2.5,POTOMAC YARD,1439,,2022,119,688,734,Contingent,,,https://www.redfin.com/VA/Alexandria/412-2nd-St-22314/unit-TWO-412/home/178492286,BRIGHT MLS,VAAX2009110,N,Y,38.8153218,-77.0418966
MLS Listing,,Townhouse,711 Carpenter Rd,Alexandria,VA,22314,985000,3,3.5,POTOMAC GREENS,1882,871,2006,17,523,165,Active,,,https://www.redfin.com/VA/Alexandria/711-Carpenter-Rd-22314/home/11878126,BRIGHT MLS,VAAX2013296,N,Y,38.8269061,-77.0448652
MLS Listing,,Townhouse,721 Carpenter Rd,Alexandria,VA,22314,985000,3,4.0,POTOMAC GREENS,1762,704,2006,17,559,165,Active,,,https://www.redfin.com/VA/Alexandria/721-Carpenter-Rd-22314/home/11878132,BRIGHT MLS,VAAX2013376,N,Y,38.8268755,-77.0452107
MLS Listing,,Single Family Residential,2301 Windsor Rd,Alexandria,VA,22307,980000,3,2.0,BELLE HAVEN,2042,12542,1958,25,480,,Contingent,,,https://www.redfin.com/VA/Alexandria/2301-Windsor-Rd-22307/home/9762316,BRIGHT MLS,VAFX2068134,N,Y,38.7806193,-77.0720511
MLS Listing,,Single Family Residential,4840 Chowan Ave,Alexandria,VA,22312,980000,5,4.0,WEYANOKE,4100,8250,2022,34,239,,Active,,,https://www.redfin.com/VA/Alexandria/4840-Chowan-Ave-22312/home/9724039,BRIGHT MLS,VAFX2065260,N,Y,38.8184925,-77.1521339
PAST SALE,February-3-2020,Single Family Residential,2107 Rampart Dr,Alexandria,VA,22308,979900,4,3.5,RIVERSIDE,3432,10501,1976,10,286,,Pending,,,https://www.redfin.com/VA/Alexandria/2107-Rampart-Dr-22308/home/9819562,BRIGHT MLS,VAFX2064594,N,Y,38.732694,-77.0677566
MLS Listing,,Single Family Residential,7214 Marine Dr,Alexandria,VA,22307,979000,4,2.0,MARLAN FOREST,2509,14216,1951,4,390,,Active,,,https://www.redfin.com/VA/Alexandria/7214-Marine-Dr-22307/home/9796093,BRIGHT MLS,VAFX2073944,N,Y,38.7595217,-77.0582003
MLS Listing,,Single Family Residential,2502 Lisbon Ln,Alexandria,VA,22306,979000,4,2.5,MILWAY MEADOWS,3144,13776,1968,3,311,,Active,,,https://www.redfin.com/VA/Alexandria/2502-Lisbon-Ln-22306/home/9795681,BRIGHT MLS,VAFX2074398,N,Y,38.753732,-77.0752662
MLS Listing,,Single Family Residential,2631 Childs Ln,Alexandria,VA,22308,979000,4,3.5,STRATFORD ON THE POTOMAC,3196,13573,1965,26,306,,Contingent,,,https://www.redfin.com/VA/Alexandria/2631-Childs-Ln-22308/home/9819128,BRIGHT MLS,VAFX2068972,N,Y,38.7285812,-77.0784588
MLS Listing,,Single Family Residential,2103 Stirrup Ln,Alexandria,VA,22308,975000,4,2.5,RIVERSIDE GARDENS,2277,10767,1965,25,428,,Active,,,https://www.redfin.com/VA/Alexandria/2103-Stirrup-Ln-22308/home/9818956,BRIGHT MLS,VAFX2068240,N,Y,38.7263459,-77.0667673
PAST SALE,February-29-2008,Townhouse,252 Murtha St,Alexandria,VA,22304,975000,4,4.5,CAMERON STATION,2503,2038,2001,5,390,137,Pending,,,https://www.redfin.com/VA/Alexandria/252-Murtha-St-22304/home/11874789,BRIGHT MLS,VAAX2013414,N,Y,38.8066032,-77.117617
MLS Listing,,Single Family Residential,3801 Taft Ave,Alexandria,VA,22304,975000,5,3.0,DELTA,2900,10000,1940,54,336,,Active,,,https://www.redfin.com/VA/Alexandria/3801-Taft-Ave-22304/home/11852970,BRIGHT MLS,VAAX2011646,N,Y,38.8122902,-77.095859
MLS Listing,,Single Family Residential,7816 Ridgecrest Dr,Alexandria,VA,22308,975000,4,3.0,WELLINGTON,2761,22470,1974,19,353,,Active,,,https://www.redfin.com/VA/Alexandria/7816-Ridgecrest-Dr-22308/home/9818357,BRIGHT MLS,VAFX2070432,N,Y,38.7446576,-77.0499476
MLS Listing,,Townhouse,1218 Main Line Blvd #102,Alexandria,VA,22301,975000,3,2.5,POTOMAC YARD,2761,,2015,4,353,256,Active,,,https://www.redfin.com/VA/Alexandria/1218-Main-Line-Blvd-22301/unit-102/home/102285265,BRIGHT MLS,VAAX2013862,N,Y,38.817791,-77.052146
MLS Listing,,Single Family Residential,403 Cambridge Rd,Alexandria,VA,22314,975000,3,2.5,COLLEGE PARK,2082,8053,1950,11,468,,Active,,,https://www.redfin.com/VA/Alexandria/403-Cambridge-Rd-22314/home/11850996,BRIGHT MLS,VAAX2012964,N,Y,38.8131561,-77.0809768
